MonthYear,country_code,country_name,GPI_score,gpi_predicted
201812,TI,Tajikistan,2.202916666666667,2.2658171277777797
201901,TI,Tajikistan,2.1959999999999997,2.26027170833333
201307,UZ,Uzbekistan,2.2960000000000003,2.28327213055556
201308,UZ,Uzbekistan,2.2918333333333334,2.28774385555556
201309,UZ,Uzbekistan,2.2876666666666665,2.29885898888889
201310,UZ,Uzbekistan,2.2835,2.2908236111111098
201311,UZ,Uzbekistan,2.279333333333333,2.2942059277777798
201312,UZ,Uzbekistan,2.275166666666667,2.30486781666667
201401,UZ,Uzbekistan,2.271,2.29175621666666
201402,UZ,Uzbekistan,2.2699166666666666,2.2949597472222205
201403,UZ,Uzbekistan,2.2688333333333333,2.2833504888888903
201404,UZ,Uzbekistan,2.26775,2.29016487222222
201405,UZ,Uzbekistan,2.2666666666666666,2.28724792222222
201406,UZ,Uzbekistan,2.2655833333333333,2.28446819166667
201407,UZ,Uzbekistan,2.2645,2.29145853888889
201408,UZ,Uzbekistan,2.263416666666666,2.28433170277778
201409,UZ,Uzbekistan,2.2623333333333333,2.2931906027777798
201410,UZ,Uzbekistan,2.26125,2.2818310194444402
201411,UZ,Uzbekistan,2.2601666666666667,2.27489600277778
201412,UZ,Uzbekistan,2.2590833333333333,2.2739760138888903
201501,UZ,Uzbekistan,2.258,2.2740812777777797
201502,UZ,Uzbekistan,2.253,2.28979795277778
201503,UZ,Uzbekistan,2.248,2.27976086944444
201504,UZ,Uzbekistan,2.2430000000000003,2.27414098888889
201505,UZ,Uzbekistan,2.238,2.27280148055556
201506,UZ,Uzbekistan,2.233,2.26860066111111
201507,UZ,Uzbekistan,2.228,2.26212665
201508,UZ,Uzbekistan,2.2230000000000003,2.25323063333333
201509,UZ,Uzbekistan,2.218,2.25954341388889
201510,UZ,Uzbekistan,2.213,2.24574798611111
201511,UZ,Uzbekistan,2.208,2.2359334861111098
201512,UZ,Uzbekistan,2.2030000000000003,2.2412582972222204
201601,UZ,Uzbekistan,2.198,2.23637758611111
201602,UZ,Uzbekistan,2.19125,2.23597399444444
201603,UZ,Uzbekistan,2.1845,2.2247050777777795
201604,UZ,Uzbekistan,2.17775,2.22464005
201605,UZ,Uzbekistan,2.171,2.21940259444444
201606,UZ,Uzbekistan,2.16425,2.22085330833333
201607,UZ,Uzbekistan,2.1575,2.21230453888889
201608,UZ,Uzbekistan,2.15075,2.20315770833334
201609,UZ,Uzbekistan,2.144,2.18887305
201610,UZ,Uzbekistan,2.13725,2.19352969722223
201611,UZ,Uzbekistan,2.1305,2.208532025
201612,UZ,Uzbekistan,2.12375,2.22473431388889
201701,UZ,Uzbekistan,2.117,2.1726086666666697
201702,UZ,Uzbekistan,2.11925,2.19547972777778
201703,UZ,Uzbekistan,2.1215,2.21407696944444
201704,UZ,Uzbekistan,2.12375,2.18702140277778
201705,UZ,Uzbekistan,2.126,2.1918226805555503
201706,UZ,Uzbekistan,2.12825,2.1884626027777703
201707,UZ,Uzbekistan,2.1305,2.21055400833333
201708,UZ,Uzbekistan,2.13275,2.17187058888889
201709,UZ,Uzbekistan,2.135,2.17708295555555
201710,UZ,Uzbekistan,2.13725,2.1758295
201711,UZ,Uzbekistan,2.1395,2.1733487
201712,UZ,Uzbekistan,2.14175,2.163014325
201801,UZ,Uzbekistan,2.144,2.193829375
201802,UZ,Uzbekistan,2.145833333333333,2.1732842166666697
201803,UZ,Uzbekistan,2.147666666666667,2.1774918166666697
201804,UZ,Uzbekistan,2.1495,2.18346546388889
201805,UZ,Uzbekistan,2.151333333333333,2.15710454444444
201806,UZ,Uzbekistan,2.153166666666667,2.16557275
201807,UZ,Uzbekistan,2.155,2.15510799444444
201808,UZ,Uzbekistan,2.156833333333333,2.2192768194444503
201809,UZ,Uzbekistan,2.1586666666666665,2.1625132361111103
201810,UZ,Uzbekistan,2.1605,2.2232042722222203
201811,UZ,Uzbekistan,2.162333333333333,2.19064971111111
201812,UZ,Uzbekistan,2.1641666666666666,2.20768068611111
201901,UZ,Uzbekistan,2.166,2.22075733055555
201307,NP,Nepal,2.019,2.08870200277778
201308,NP,Nepal,2.0126666666666666,2.0837192638888897
201309,NP,Nepal,2.006333333333333,2.07984780277778
201310,NP,Nepal,2.0,2.06612826388889
201311,NP,Nepal,1.9936666666666667,2.06935228333333
201312,NP,Nepal,1.9873333333333332,2.06763211666667
201401,NP,Nepal,1.9809999999999999,2.03855164722222
201402,NP,Nepal,1.973,2.06075741388889
201403,NP,Nepal,1.965,2.03735014444444
201404,NP,Nepal,1.9569999999999999,2.0327782111111103
201405,NP,Nepal,1.949,2.058688275
201406,NP,Nepal,1.9409999999999998,2.02967272777778
201407,NP,Nepal,1.933,2.02756256388889
201408,NP,Nepal,1.925,2.05359027777778
201409,NP,Nepal,1.9169999999999998,2.00295296944444
201410,NP,Nepal,1.909,1.981625675
201411,NP,Nepal,1.901,1.9962660055555599
201412,NP,Nepal,1.893,2.00947295
201501,NP,Nepal,1.885,2.01285793333333
201502,NP,Nepal,1.8948333333333331,1.97994109722222
201503,NP,Nepal,1.9046666666666667,1.9511822416666698
201504,NP,Nepal,1.9145,1.9238211611111102
201505,NP,Nepal,1.9243333333333332,1.9207152361111102
201506,NP,Nepal,1.9341666666666668,1.9185081333333303
201507,NP,Nepal,1.944,1.9185097444444401
201508,NP,Nepal,1.9538333333333333,1.92878800277778
201509,NP,Nepal,1.963666666666667,1.93222738333333
201510,NP,Nepal,1.9735,1.93301283055555
201511,NP,Nepal,1.9833333333333332,1.94491477222222
201512,NP,Nepal,1.9931666666666668,1.9485406138888899
201601,NP,Nepal,2.003,1.94913568055556
201602,NP,Nepal,2.0067500000000003,1.9420922611111102
201603,NP,Nepal,2.0105,1.94544237222222
201604,NP,Nepal,2.01425,1.96727495
201605,NP,Nepal,2.018,1.96290881666667
201606,NP,Nepal,2.02175,1.96816030277778
201607,NP,Nepal,2.0255,1.9689900555555502
201608,NP,Nepal,2.02925,1.98797431388889
201609,NP,Nepal,2.033,1.9796685611111102
201610,NP,Nepal,2.03675,1.9729138194444498
201611,NP,Nepal,2.0405,1.9771468388888898
201612,NP,Nepal,2.04425,1.99894162777778
201701,NP,Nepal,2.048,2.00557551388889
201702,NP,Nepal,2.049,2.005704175
201703,NP,Nepal,2.05,2.0055892361111103
201704,NP,Nepal,2.051,2.0033006388888897
201705,NP,Nepal,2.052,2.00336032777778
201706,NP,Nepal,2.053,2.01855479722222
201707,NP,Nepal,2.0540000000000003,2.02676839444444
201708,NP,Nepal,2.055,2.00144303333333
201709,NP,Nepal,2.056,2.01235510833333
201710,NP,Nepal,2.057,2.024611525
201711,NP,Nepal,2.0580000000000003,2.02802297222222
201712,NP,Nepal,2.059,2.03213127222222
201801,NP,Nepal,2.06,2.02222892222222
201802,NP,Nepal,2.05525,2.0195084388888898
201803,NP,Nepal,2.0505,2.01920706388889
201804,NP,Nepal,2.04575,2.03512789722222
201805,NP,Nepal,2.041,2.02764179166667
201806,NP,Nepal,2.03625,2.0392653916666696
201807,NP,Nepal,2.0315000000000003,2.01595135833333
201808,NP,Nepal,2.0267500000000003,2.002691525
201809,NP,Nepal,2.022,2.00948543611111
201810,NP,Nepal,2.01725,2.0249773666666697
201811,NP,Nepal,2.0125,2.02966631944444
201812,NP,Nepal,2.00775,2.0298235
201901,NP,Nepal,2.003,2.0180933555555503
201307,MK,North Macedonia,2.0735,2.0230797833333303
201308,MK,North Macedonia,2.07225,2.045793925
201309,MK,North Macedonia,2.071,2.04921611666667
201310,MK,North Macedonia,2.06975,2.035763525
201311,MK,North Macedonia,2.0685,2.04210390277778
201312,MK,North Macedonia,2.06725,2.03307925555556
201401,MK,North Macedonia,2.066,2.02499116666667
201402,MK,North Macedonia,2.0639166666666666,2.04336161111111
201403,MK,North Macedonia,2.0618333333333334,2.06361114444445
201404,MK,North Macedonia,2.05975,2.0268699611111103
201405,MK,North Macedonia,2.0576666666666665,2.02630851111111
201406,MK,North Macedonia,2.0555833333333333,2.04495945
201407,MK,North Macedonia,2.0535,2.040356225
201408,MK,North Macedonia,2.0514166666666664,2.03420352777778
201409,MK,North Macedonia,2.049333333333333,2.03483955833333
201410,MK,North Macedonia,2.04725,2.03167432777778
201411,MK,North Macedonia,2.045166666666667,2.053188275
201412,MK,North Macedonia,2.043083333333333,2.04336951388889
201501,MK,North Macedonia,2.041,2.03769315555556
201502,MK,North Macedonia,2.0474166666666664,2.06038631388889
201503,MK,North Macedonia,2.0538333333333334,2.05426964444444
201504,MK,North Macedonia,2.06025,2.05735436666667
201505,MK,North Macedonia,2.066666666666667,2.053822975
201506,MK,North Macedonia,2.0730833333333334,2.0580886888888896
201507,MK,North Macedonia,2.0795000000000003,2.06141634722223
201508,MK,North Macedonia,2.085916666666667,2.06268804444445
201509,MK,North Macedonia,2.0923333333333334,2.0679704416666698
201510,MK,North Macedonia,2.0987500000000003,2.0705641166666697
201511,MK,North Macedonia,2.105166666666667,2.0816874166666697
201512,MK,North Macedonia,2.111583333333334,2.08415550833334
201601,MK,North Macedonia,2.1180000000000003,2.08548706111111
201602,MK,North Macedonia,2.118916666666667,2.09688850833334
201603,MK,North Macedonia,2.1198333333333337,2.1040021444444497
201604,MK,North Macedonia,2.12075,2.10464944444445
201605,MK,North Macedonia,2.121666666666667,2.09059051944445
201606,MK,North Macedonia,2.122583333333333,2.0695010833333303
201607,MK,North Macedonia,2.1235,2.07398653055556
201608,MK,North Macedonia,2.124416666666667,2.09089678333333
201609,MK,North Macedonia,2.1253333333333333,2.08658472222223
201610,MK,North Macedonia,2.12625,2.08424025277778
201611,MK,North Macedonia,2.1271666666666667,2.09701392222222
201612,MK,North Macedonia,2.128083333333333,2.09633693055556
201701,MK,North Macedonia,2.129,2.09099093611111
201702,MK,North Macedonia,2.12325,2.10014718888889
201703,MK,North Macedonia,2.1175,2.094821625
201704,MK,North Macedonia,2.11175,2.1026217999999997
